ReadGroup	Position	EventType	Scaling	Observations	firstDerivative	SecondDerivative	F	hasConverged
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	47	M	1.02144	7.86638	0	0	5.37689e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	48	M	1.02014	7.84787	0	0	3.82981e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	49	M	1.01943	7.8289	0	0	1.52533e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	50	M	1.02032	7.80952	0	0	2.78741e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	51	M	1.01855	7.78985	0	0	7.93996e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	52	M	1.02593	7.76979	0	0	6.74691e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	53	M	1.02402	7.74924	0	0	4.84689e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	54	M	1.02409	7.72835	0	0	4.75039e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	55	M	1.0261	7.70709	0	0	6.26452e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	56	M	1.02688	7.68548	0	0	6.42832e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	57	M	1.02874	7.66349	0	0	6.60362e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	58	M	1.0268	7.64116	0	0	5.81009e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	59	M	1.03288	7.61843	0	0	9.86059e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	60	M	1.02922	7.59535	0	0	6.71154e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	61	M	1.02796	7.57192	0	0	4.71899e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	62	M	1.03474	7.5482	0	0	9.71992e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	63	M	1.02947	7.52401	0	0	4.82381e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	64	M	1.03418	7.49958	0	0	8.60432e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	65	M	1.0376	7.47465	0	0	1.84291e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	66	M	1.03772	7.44942	0	0	9.45565e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	67	M	1.04009	7.42386	0	0	1.46674e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	68	M	1.04076	7.39781	0	0	1.40779e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	69	M	1.03846	7.3714	0	0	1.12531e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	70	M	1.03877	7.3445	0	0	8.23694e-08	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	71	M	1.03964	7.31711	0	0	2.8845e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	72	M	1.04572	7.28928	0	0	1.67394e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	73	M	1.03693	7.261	0	0	1.53004e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	74	M	1.03965	7.23216	0	0	6.28874e-08	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	75	M	1.03651	7.20267	0	0	7.37172e-08	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	76	M	1.03671	7.17259	0	0	1.03527e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	77	M	1.04774	7.14194	0	0	1.13992e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	78	M	1.05641	7.11061	0	0	2.12819e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	79	M	1.05813	7.07853	0	0	4.0987e-08	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	80	M	1.05871	7.04545	0	0	2.32403e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	81	M	1.05252	7.01153	0	0	2.4846e-08	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	82	M	1.06286	6.9764	0	0	7.75296e-09	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	83	M	1.05509	6.94031	0	0	1.23039e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	84	M	1.06155	6.90287	0	0	2.98801e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	85	M	1.04417	6.86404	0	0	1.06665e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	86	M	1.05652	6.82517	0	0	7.03723e-09	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	87	M	1.0389	6.78322	0	0	6.73714e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	88	M	1.04975	6.74076	0	0	1.05283e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	89	M	1.05058	6.69465	0	0	8.47056e-08	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	90	M	1.03985	6.64716	0	0	9.53156e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	91	M	1.0563	6.59664	0	0	3.85106e-08	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	92	M	1.03289	6.54231	0	0	8.19319e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	93	M	1.04236	6.48344	0	0	1.51641e-08	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	94	M	1.05707	6.41897	0	0	1.15641e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	95	M	1.04464	6.34763	0	0	1.35516e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	96	M	1.05348	6.26649	0	0	4.8811e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	97	M	1.03864	6.17062	0	0	7.35041e-08	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	98	M	1.02565	6.04276	0	0	2.11451e-05	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	99	M	1.08216	5.80384	0	0	1.13994e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	100	M	1	4.09882	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	101	M	1	3.47524	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	102	M	1	3.05269	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	103	M	1	2.67302	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	104	M	1	1.87506	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	105	M	1	0	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	106	M	1	0	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	107	M	1	0	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	108	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	109	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	110	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	111	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	112	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	113	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	114	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	115	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	116	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	117	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	118	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	119	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	120	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	121	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	122	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	123	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	124	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	125	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	126	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	127	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	128	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	129	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	130	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	131	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	132	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	133	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	134	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	135	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	136	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	137	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	138	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	139	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	140	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	141	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	142	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	143	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	144	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	145	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	146	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	147	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	148	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	149	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	150	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	151	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	152	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	153	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	154	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	155	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	156	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	157	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	158	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	159	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	160	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	161	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	162	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	163	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	164	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	165	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	166	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	167	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	168	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	169	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	170	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	171	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	172	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	173	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	174	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	175	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	176	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	177	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	178	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	179	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	180	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	181	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	182	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	183	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	184	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	185	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	186	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	187	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	188	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	189	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	190	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	191	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	192	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	193	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	194	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	195	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	196	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	197	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	198	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	199	M	1	-	0	0	0	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_less99	200	M	1	-	0	0	0	1
